id_str,tweet_created_at,user_screen_name,user_id_str,user_statuses_count,user_favourites_count,user_protected,user_listed_count,user_following,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_created_at,tweet_language,text_,favorite_count,favorited,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,retweet_count,retweeted,text
'793551823147765765',Tue Nov 01 20:34:32 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo at the moment. Appreciate your patience and understanding. 2/2 ^MM,0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,
'793670911635312640',Wed Nov 02 04:27:45 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion Just because u say that it's the best solution it won't be,0,FALSE,AmazonHelp,7.94E+17,85741735,0,FALSE,
'793671240678453248',Wed Nov 02 04:29:04 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion Excellent Response to Shut off you Customers...SHAME ON U!,0,FALSE,AmazonHelp,7.94E+17,85741735,0,FALSE,
'793676510494359552',Wed Nov 02 04:50:00 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,"@aakashwangnoo Sorry you feel this way Aakash! However, we'll not be able to offer any further insight or action on this. ^HK",0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,
'793710929246507009',Wed Nov 02 07:06:46 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion This is the way Amazon India tackles it's MISTAKES...KUDOS,0,FALSE,AmazonHelp,7.94E+17,85741735,0,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,
'793315815411978240',Tue Nov 01 04:56:44 +0000 2016,Murtazansp,2908108256,54,2,FALSE,0,FALSE,,,FALSE,13,43,Sun Nov 23 12:27:23 +0000 2014,en,"@amznind Amazon dupes customer
First free delivery while returned we have to send at our expense beware I am having a harrowing experience",0,FALSE,amznind,,7.12975E+17,0,FALSE,
'793322306848292864',Tue Nov 01 05:22:31 +0000 2016,AmazonHelp,85741735,2225478,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149571,53,Wed Oct 28 04:17:54 +0000 2009,en,"@Murtazansp Hello, sorry about the inconvenience. ^NR (1/2)",0,FALSE,Murtazansp,7.93E+17,2908108256,0,FALSE,
'793322433625415680',Tue Nov 01 05:23:02 +0000 2016,AmazonHelp,85741735,2225478,11366,FALSE,792,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149571,53,Wed Oct 28 04:17:54 +0000 2009,en,@Murtazansp Could you please tell us if the product is fulfilled by amazon or fulfilled by a seller? ^NR (2/2),0,FALSE,Murtazansp,7.93E+17,2908108256,0,FALSE,
'793837240505937920',Wed Nov 02 15:28:41 +0000 2016,Murtazansp,2908108256,54,2,FALSE,0,FALSE,,,FALSE,13,43,Sun Nov 23 12:27:23 +0000 2014,en,"@AmazonHelp Fulfilled by seller order ID  171-1606969-5988338
Please refund my money at earliest",0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
